id;productName;category;price;finalPrice;quantityAvailable;priceUnit
1;Chicken Fillets, 6 x 100g;Meat & Poultry;4.50;4.50;12;£
2;Sirloin Steaks, 4 x 6-8oz;Meat & Poultry;45.70;45.70;6;£
3;Whole Free-Range Turkey, 1 x 16-18lbs;Meat & Poultry;48.25;43.20;8;£
4;Granny Smith Apples, 4 x 16 each;Fruit & Vegetables;3.75;3.75;0;£
5;Loose Carrots, 4 x 20 each;Fruit & Vegetables;2.67;2.67;2;£
6;Mandarin Oranges, 6 x 10 x 12;Fruit & Vegetables;12.23;12.23;8;£
7;Cauliflower Florets, 10 x 500g;Fruit & Vegetables;6.75;5.00;5;£
8;Coca-Cola, 6 x 2L;Drinks;8.50;8.30;6;£
20;Still Mineral Water, 6 x 24 x 500ml;Drinks;21.75;21.75;9;£
9;Sparkling Mineral Water, 6 x 24 x 500ml;Drinks;25.83;25.83;16;£
10;Mars Bar, 6 x 24 x 50g;Confectionary & Desserts;42.82;42.82;4;£
11;Peppermint Chewing Gum, 6 x 50 x 30g;Confectionary & Desserts;35.70;35.70;6;£
12;Strawberry Cheesecake, 4 x 12 portions;Confectionary & Desserts;8.52;8.52;0;£
13;Vanilla Ice Cream, 6 x 4L;Confectionary & Desserts;3.80;3.80;2;£
14;Plain Flour, 10 x 1kg;Baking/Cooking Ingredients;6.21;6.21;4;£
15;Icing Sugar, 12 x 500g;Baking/Cooking Ingredients;9.38;9.38;6;£
16;Free-Range Eggs, 10 x 12 each;Baking/Cooking Ingredients;9.52;9.52;9;£
17;Caster Sugar, 16 x 750g;Baking/Cooking Ingredients;12.76;12.76;13;£
18;Kitchen Roll, 100 x 300 sheets;Miscellaneous Items;43.92;43.92;19;£
19;Paper Plates, 10 x 200 each;Miscellaneous Items;16.19;16.19;7;£